"estudiante_id";"codigo";"nombre";"uc";"notaf";"notad";"tipoexamen";"seccion";"equivalenciainterna";"nombre";"ano";"nombre"
1116;"0902003281";"BIOQUIMICA CLINICA II";5;"AP";"00";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
35654;"0902003277";"BIOQUIMICA CLINICA I";5;"10";"10";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
1116;"0902003281";"BIOQUIMICA CLINICA II";5;"AP";"00";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
58302;"0902003605";"APRENDER A APRENDER";2;"13";"13";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
1591;"0902003282";"HEMATOLOGIA II";5;"AP";"11";"D";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
52770;"0902003465";"BACTERIOLOGIA I";3;"13";"13";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
8567;"0902003280";"HEMATOLOGIA I";5;"13";"13";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
45599;"0902003281";"BIOQUIMICA CLINICA II";5;"12";"12";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
8567;"0902003281";"BIOQUIMICA CLINICA II";5;"11";"11";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
67676;"0902002523";"QUIMICA ANALITICA";5;"19";"19";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
8567;"0902003282";"HEMATOLOGIA II";5;"12";"12";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
67919;"0902003602";"FORMACION DE AGENTES DE PAZ";3;"19";"19";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
23108;"0902003460";"MATEMATICAS II";4;"AP";"00";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
67919;"0902003496";"POBLACION Y POLITICA  DE SALUD";3;"17";"17";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
33904;"0902003468";"TOPICOS EN BACTERIOLOGIA";2;"00";"PI";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
67919;"0902003275";"FISICA II";4;"12";"12";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
33904;"0902003477";"ECONOMIA DE SALUD";3;"00";"PI";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
50896;"0902003496";"POBLACION Y POLITICA  DE SALUD";3;"16";"16";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
49462;"0902003463";"ADMINISTRACION SANITARIA";3;"14";"14";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
58835;"0902003462";"SOCIOLOGIA Y ORIENTACION COMUNAL";3;"15";"15";"F";"S1";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
