id;Fecha;MENCION
33174;2015-06-19;LICENCIADO EN ESTUDIOS INTERNACIONALES
11614;2008-10-31;LICENCIADO EN FILOSOFIA
85550;2018-07-27;LICENCIADO EN ESTUDIOS INTERNACIONALES
11686;2008-01-25;LICENCIADO EN EDUCACION
141869;2008-11-28;ABOGADO
1825;2009-11-27;ABOGADO
34281;2009-07-17;LICENCIADO EN EDUCACION
168041;2008-07-18;LICENCIADO EN EDUCACION MENCION FILOSOFIA
168041;2009-01-23;LICENCIADO EN FILOSOFIA
17762;2018-04-13;LICENCIADO EN INSPECCIÓN DE SALUD PÚBLICA
29795;2008-06-13;LICENCIADO EN ADMINISTRACION COMERCIAL
127597;2017-11-17;LICENCIADO EN HISTORIA
41022;2010-04-23;LICENCIADO EN CIENCIAS POLITICAS Y ADMINISTRATIVAS
60310;2013-12-06;MEDICO CIRUJANO
37632;2009-12-04;LICENCIADO EN CONTADURIA PUBLICA
190520;2008-10-31;LICENCIADO EN EDUCACION
148889;2010-07-23;LICENCIADO EN LETRAS
23005;2013-06-28;LICENCIADO EN TRABAJO SOCIAL
140159;2009-01-23;LICENCIADO EN TRADUCCION
54918;2011-07-01;LICENCIADO EN ESTUDIOS INTERNACIONALES
52807;2011-07-01;LICENCIADO EN CONTADURIA PUBLICA
151420;2008-07-18;LICENCIADO EN COMUNICACION SOCIAL
53105;2015-05-08;LICENCIADO EN EDUCACION
127601;2017-11-17;LICENCIADO EN EDUCACIÓN
23639;2014-03-13;LICENCIADO EN INSPECCIÓN EN SALUD PUBLICA
45083;2010-12-03;LICENCIADO EN ESTUDIOS INTERNACIONALES
56066;2010-01-22;TECNICO SUPERIOR EN INFORMACION DE SALUD
9645;2011-07-01;LICENCIADO EN TRABAJO SOCIAL
59770;2015-11-20;LICENCIADO EN EDUCACION
52302;2015-06-12;LICENCIADO EN CIENCIAS POLITICAS Y ADMINISTRATIVAS
19512;2009-11-27;ABOGADO
13586;2018-11-30;LICENCIADO EN ARTES
156755;2015-05-08;LICENCIADO EN LETRAS
45773;2012-11-23;ABOGADO
146362;2008-11-28;ABOGADO
56138;2010-01-22;TECNICO SUPERIOR EN INFORMACION DE SALUD
